		RelAbund	RelAbund	RelAbund
		max	mean	min
Class	Type			
Acidimicrobiia	skin	0.14958158995815898	0.0013632266016587946	0.0
Acidimicrobiia	swab	0.048005908419497784	0.005879438990276503	0.0
Acidimicrobiia	water	0.02507288629737609	0.0072736443062141444	0.0
Acidobacteriia	swab	0.0160926939169617	0.0005921459813381936	0.0
Actinobacteria	skin	0.9087656529516994	0.18285094070192198	0.0
Actinobacteria	swab	0.7646276595744681	0.16536939828369618	0.0
Actinobacteria	water	0.1280104144065958	0.047982495055078275	0.0
Alphaproteobacteria	skin	0.9495798319327731	0.12275734374208626	0.0
Alphaproteobacteria	swab	0.39266173157386547	0.13775846268464478	0.0
Alphaproteobacteria	water	0.20670826833073322	0.1168540674135377	0.03113278319579895
Anaerolineae	skin	0.13631284916201117	0.005641337499604849	0.0
Anaerolineae	swab	0.3478964401294498	0.028933538550351544	0.0
Anaerolineae	water	0.030686799805163176	0.012936755793367269	0.0
Bacilli	skin	0.6893453145057766	0.12221366836575931	0.0
Bacilli	swab	0.521780303030303	0.0880610065405877	0.0
Bacilli	water	0.02262090483619345	0.0025653151116224247	0.0
Bacteroidia	skin	0.9368709972552608	0.04155711559284345	0.0
Bacteroidia	swab	0.3242597898758357	0.058901318801243455	0.0
Bacteroidia	water	0.5157715260017051	0.33550764444639347	0.09908409658617819
Blastocatellia_(Subgroup_4)	skin	0.3886255924170616	0.010526218712067445	0.0
Blastocatellia_(Subgroup_4)	swab	0.08546409807355516	0.009453931206423011	0.0
Blastocatellia_(Subgroup_4)	water	0.0052478134110787176	0.0010002104379348655	0.0
Campylobacteria	swab	0.06302843966179862	0.0010421989807875252	0.0
Campylobacteria	water	0.23202886483485985	0.02547239968047857	0.0
Chlamydiae	skin	0.3330275229357798	0.0028158137733825805	0.0
Chlamydiae	swab	0.1770731707317073	0.0016701498760245538	0.0
Chloroflexia	skin	0.20065789473684212	0.009917594976800087	0.0
Chloroflexia	swab	0.11988847583643122	0.007949261169470926	0.0
Chloroflexia	water	0.0010080645161290322	0.00010080645161290323	0.0
Clostridia	skin	0.818707191780822	0.023982837739174093	0.0
Clostridia	swab	0.6121636682056998	0.02175545549595187	0.0
Clostridia	water	0.0032258064516129032	0.0007838880233515054	0.0
Coriobacteriia	swab	0.03269412134548884	0.002437770399948725	0.0
Deinococci	swab	0.014432538814782419	0.0006417083962592209	0.0
Deltaproteobacteria	skin	0.19718309859154928	0.004254862215972392	0.0
Deltaproteobacteria	swab	0.13013168086754454	0.005083367240042895	0.0
Deltaproteobacteria	water	0.0031201248049922	0.001268056068027454	0.0
Erysipelotrichia	skin	0.5772972972972973	0.03966021333652895	0.0
Erysipelotrichia	swab	0.40878378378378377	0.03510144294794259	0.0
Erysipelotrichia	water	0.010798522307473715	0.002761132560005962	0.0
Fibrobacteria	skin	0.09884467265725289	0.002778938633274167	0.0
Fibrobacteria	swab	0.07291666666666667	0.001568571933364183	0.0
Fusobacteriia	skin	0.8829080740999651	0.15713600321996488	0.0
Fusobacteriia	swab	0.7544031311154599	0.13387233990013572	0.0
Fusobacteriia	water	0.2355782892867292	0.04697654640455611	0.0
Gammaproteobacteria	skin	0.8952026082906381	0.09022216373717958	0.0
Gammaproteobacteria	swab	0.5159450897571277	0.11231585440065411	0.010558069381598794
Gammaproteobacteria	water	0.4891222805701425	0.2878969709813203	0.12531969309462915
Gemmatimonadetes	skin	1.0	0.016615874694929585	0.0
Gemmatimonadetes	swab	0.08675324675324675	0.008186908446418104	0.0
Gemmatimonadetes	water	0.0013018008244738556	0.00025114782438286944	0.0
Gitt-GS-136	swab	0.010216346153846154	0.00022438261436701106	0.0
Holophagae	swab	0.023919753086419752	0.001593193384364073	0.0
Ignavibacteria	swab	0.03257443082311734	0.0023639360926571203	0.0
Ignavibacteria	water	0.0036195455459481197	0.0006358117275461496	0.0
JG30-KF-CM66	swab	0.021716287215411557	0.0006162865401339396	0.0
KD4-96	swab	0.11270801815431165	0.011884826248590335	0.0
KD4-96	water	0.01574344023323615	0.00626711570673742	0.0
Kiritimatiellae	swab	0.021828103683492497	0.00039038387169661865	0.0
Longimicrobia	skin	0.23109243697478993	0.008912150682722797	0.0
Longimicrobia	swab	0.06090808416389812	0.003776444703713437	0.0
MB-A2-108	swab	0.020289855072463767	0.0013276919106087288	0.0
MB-A2-108	water	0.003217373818620551	0.0003217373818620551	0.0
Melainabacteria	skin	0.1335254562920269	0.002077963101017856	0.0
Melainabacteria	swab	0.044911147011308564	0.00041108391113163186	0.0
NA	swab	0.0121580547112462	0.00025559869480266343	0.0
NC10	swab	0.02178988326848249	0.0008856907751586712	0.0
Negativicutes	swab	0.025863991081382386	0.0005393062088772145	0.0
Nitrospira	swab	0.021040974529346623	0.0005135756676409697	0.0
Nitrospira	water	0.012244897959183673	0.0017320236569449484	0.0
OLB14	swab	0.019408502772643253	0.00020502217971317643	0.0
OM190	swab	0.014822386915410171	0.00037199722710027613	0.0
Oligosphaeria	swab	0.01513848271116463	0.0007031504351762791	0.0
Oxyphotobacteria	skin	0.8233532934131736	0.06591266816755034	0.0
Oxyphotobacteria	swab	0.5516917293233082	0.053642178918368436	0.0
Oxyphotobacteria	water	0.1358986848514369	0.048296538927175496	0.0
Parcubacteria	swab	0.036544850498338874	0.0009190105979152588	0.0
Phycisphaerae	skin	0.7994896099161501	0.0595402464602017	0.0
Phycisphaerae	swab	0.6637750523481902	0.04174230551446638	0.0
Phycisphaerae	water	0.0588398556758257	0.006667791320519924	0.0
Planctomycetacia	swab	0.09087386165471807	0.010934672802401915	0.0
Planctomycetacia	water	0.029225523623964928	0.014026167058557937	0.0
Rhodothermia	skin	0.13194834362717575	0.0025167048575417674	0.0
Rhodothermia	swab	0.07092960773777539	0.002491078953574041	0.0
Rubrobacteria	swab	0.023192360163710776	0.001783931153977042	0.0
S0134_terrestrial_group	swab	0.016975308641975308	0.0003365455094566529	0.0
Saccharimonadia	swab	0.055621771950735005	0.005174716700582134	0.0
Saccharimonadia	water	0.00816326530612245	0.001229986458113738	0.0
Spirochaetia	swab	0.03408210689388071	0.000698217059009985	0.0
Subgroup_17	swab	0.03536585365853658	0.0023722967820740343	0.0
Subgroup_17	water	0.022740524781341108	0.003287860756362524	0.0
Subgroup_18	swab	0.02147239263803681	0.00046162021391796845	0.0
Subgroup_22	swab	0.0066050198150594455	0.00022024333680085856	0.0
Subgroup_22	water	0.0004213187276174426	4.213187276174426e-05	0.0
Subgroup_6	skin	0.252129471890971	0.0037429854639879274	0.0
Subgroup_6	swab	0.0835214446952596	0.008839296156713042	0.0
Subgroup_6	water	0.036384096024006	0.011297166118571641	0.0
Thermoleophilia	swab	0.04585761337724854	0.0049734900285623145	0.0
Thermoleophilia	water	0.004624974864267042	0.0012585208419924195	0.0
Verrucomicrobiae	skin	1.0	0.023003127723829227	0.0
Verrucomicrobiae	swab	0.1717001055966209	0.012092475647153876	0.0
Verrucomicrobiae	water	0.1257285595337219	0.015306067614970123	0.0
vadinHA49	swab	0.013300492610837438	0.00040948835066976466	0.0
