approach	fraction	axis	measure	R2	%explained
linear	skin	1	T °C	0.1885351887942217	0.14657688133761196
linear	skin	1	Conductivity μS	0.1889630678832931	0.14657688133761196
linear	skin	1	pH	0.08283047098618523	0.14657688133761196
linear	skin	1	%O²	0.00264367755002759	0.14657688133761196
linear	skin	2	T °C	0.10985851787458799	0.10096380863075088
linear	skin	2	Conductivity μS	0.022681438002137955	0.10096380863075088
linear	skin	2	pH	0.14717366552774613	0.10096380863075088
linear	skin	2	%O²	0.014062963276651907	0.10096380863075088
linear	skin	faith_pd	T °C	0.03181484235367127	
linear	skin	faith_pd	Conductivity μS	0.030578925985602412	
linear	skin	faith_pd	pH	0.001672843429430082	
linear	skin	faith_pd	%O²	0.04884403451565733	
linear	swab	1	T °C	0.6645897098334103	0.172519691699338
linear	swab	1	Conductivity μS	0.7482369112771969	0.172519691699338
linear	swab	1	pH	0.433157410441765	0.172519691699338
linear	swab	1	%O²	0.10412149858263331	0.172519691699338
linear	swab	2	T °C	0.06554603584066587	0.08148103274134377
linear	swab	2	Conductivity μS	0.039198094132515626	0.08148103274134377
linear	swab	2	pH	0.1819575380644954	0.08148103274134377
linear	swab	2	%O²	0.04735672224025733	0.08148103274134377
linear	swab	faith_pd	T °C	0.3647598553880012	
linear	swab	faith_pd	Conductivity μS	0.2692286869098405	
linear	swab	faith_pd	pH	0.09650384744049689	
linear	swab	faith_pd	%O²	0.006224671369042478	
rbf	skin	1	T °C	0.318684715808291	0.14230811423725828
rbf	skin	1	Conductivity μS	0.24008459382943892	0.14230811423725828
rbf	skin	1	pH	0.2523585604341554	0.14230811423725828
rbf	skin	1	%O²	0.1493490225203069	0.14230811423725828
rbf	skin	2	T °C	0.3780769190449632	0.0982443453889347
rbf	skin	2	Conductivity μS	0.0979179307932395	0.0982443453889347
rbf	skin	2	pH	0.41661626657909434	0.0982443453889347
rbf	skin	2	%O²	0.06578303989217027	0.0982443453889347
rbf	skin	faith_pd	T °C	0.021804797640548435	
rbf	skin	faith_pd	Conductivity μS	0.03504274045040945	
rbf	skin	faith_pd	pH	0.050468132510006036	
rbf	skin	faith_pd	%O²	0.013725702645177697	
rbf	swab	1	T °C	0.8002025184979403	0.16504616454216342
rbf	swab	1	Conductivity μS	0.7837658151886041	0.16504616454216342
rbf	swab	1	pH	0.6875922647900856	0.16504616454216342
rbf	swab	1	%O²	0.23474898650540665	0.16504616454216342
rbf	swab	2	T °C	0.010074903115485534	0.08152606450295592
rbf	swab	2	Conductivity μS	0.05412192917259495	0.08152606450295592
rbf	swab	2	pH	0.18622120721558288	0.08152606450295592
rbf	swab	2	%O²	0.11733741359506424	0.08152606450295592
rbf	swab	faith_pd	T °C	0.36388197683688583	
rbf	swab	faith_pd	Conductivity μS	0.35518414455443664	
rbf	swab	faith_pd	pH	0.24973502550052118	
rbf	swab	faith_pd	%O²	0.06869966106048808	
